DGA1	DGAT2
DGA1	DGAT2L6
RER2	DHDDS
DFR1	DHFRL1
URA1	DHODH
DYS1	DHPS
YOR246C	DHRS13
YLR426W	DHRS3
YOR246C	DHRSX
PRP43	DHX15
YLR419W	DHX29
YLR419W	DHX36
ECM16	DHX37
PRP16	DHX38
YLR419W	DHX57
MPH1	DHX58
PRP22	DHX8
BNR1	DIAPH1
BNR1	DIAPH2
BNI1	DIAPH3
DIM1	DIMT1L
YOR093C	DIP2A
YOR093C	DIP2B
YOR093C	DIP2C
DIS3	DIS3
LAT1	DLAT
LPD1	DLD
SWC4	DMAP1
DMC1	DMC1
DNA2	DNA2
YDJ1	DNAJA1
YDJ1	DNAJA2
MDJ1	DNAJA3
YDJ1	DNAJA4
SIS1	DNAJB1
SIS1	DNAJB13
HLJ1	DNAJB2
SIS1	DNAJB4
SIS1	DNAJB5
HLJ1	DNAJB6
HLJ1	DNAJB8
ZUO1	DNAJC2
JJJ1	DNAJC21
DNM1	DNM1L
YHR113W	DNPEP
YLR422W	DOCK1
YLR422W	DOCK2
YLR422W	DOCK3
YLR422W	DOCK4
YLR422W	DOCK5
LIA1	DOHH
SEC59	DOLK
CAX4	DOLPP1
RAI1	DOM3Z
DOP1	DOPEY2
ALG7	DPAGT1
DPH1	DPH1
DPH2	DPH2
DPM1	DPM1
STE13	DPP10
YOL057W	DPP3
DAP2	DPP4
STE13	DPP6
DAL1	DPYS
DAL1	DPYSL2
DAL1	DPYSL3
DAL1	DPYSL4
DAL1	DPYSL5
NCB2	DR1
RBG1	DRG1
RBG2	DRG2
DCC1	DSCC1
COF1	DSTN
DTD1	DTD1
CDC8	DTYMK
DUS1	DUS1L
SMM1	DUS2L
DUS3	DUS3L
DUS4	DUS4L
SDP1	DUSP1
SDP1	DUSP10
YVH1	DUSP12
SDP1	DUSP16
SDP1	DUSP2
SDP1	DUSP4
SDP1	DUSP5
SDP1	DUSP6
SDP1	DUSP7
SDP1	DUSP9
DUT1	DUT
DYN1	DYNC1H1
PAC11	DYNC1I1
PAC11	DYNC1I2
DYN2	DYNLL1
DYN2	DYNLL2
YAK1	DYRK1A
YAK1	DYRK1B
YGL242C	DYSFIP1
MSE1	EARS2
ERR3	EDARADD
