ATP6V0A2	ATP6V0B
ATP6V0A4	ATP6V0B
ATP6V0A1	ATP6V0C
ATP6V0A2	ATP6V0C
ATP6V0A4	ATP6V0C
ATP6V0B	ATP6V0C
ATP6V0A1	ATP6V0D1
ATP6V0A2	ATP6V0D1
ATP6V0A4	ATP6V0D1
ATP6V0A1	ATP6V0D2
ATP6V0A2	ATP6V0D2
ATP6V0A4	ATP6V0D2
ATP5B	ATP6V1A
ATP6V0A1	ATP6V1A
ATP6V0A2	ATP6V1A
ATP6V0A4	ATP6V1A
ATP6V0C	ATP6V1A
ATP6V0D1	ATP6V1A
ATP6V0D2	ATP6V1A
ATP6V0A1	ATP6V1B1
ATP6V0A2	ATP6V1B1
ATP6V0A4	ATP6V1B1
ATP6V0D1	ATP6V1B1
ATP6V0D2	ATP6V1B1
ATP6V1A	ATP6V1B1
ATP6V0A1	ATP6V1B2
ATP6V0A2	ATP6V1B2
ATP6V0A4	ATP6V1B2
ATP6V0D1	ATP6V1B2
ATP6V0D2	ATP6V1B2
ATP6V1A	ATP6V1B2
ARF6	ATP6V1C1
ATP6V0A1	ATP6V1C1
ATP6V0A2	ATP6V1C1
ATP6V0A4	ATP6V1C1
ATP6V1A	ATP6V1C1
ATP6V1B1	ATP6V1C1
ATP6V1B2	ATP6V1C1
ATP6V0A1	ATP6V1C2
ATP6V0A2	ATP6V1C2
ATP6V0A4	ATP6V1C2
ATP6V1A	ATP6V1C2
ATP6V1B1	ATP6V1C2
ATP6V1B2	ATP6V1C2
ATP6V0A1	ATP6V1D
ATP6V0A2	ATP6V1D
ATP6V0A4	ATP6V1D
ATP6V0D1	ATP6V1D
ATP6V0D2	ATP6V1D
ATP6V1A	ATP6V1D
ATP6V1B1	ATP6V1D
ATP6V1B2	ATP6V1D
ATP6V1C1	ATP6V1D
ATP6V1C2	ATP6V1D
ALDOA	ATP6V1E1
ALDOB	ATP6V1E1
ALDOC	ATP6V1E1
ATP6V0A1	ATP6V1E1
ATP6V0A2	ATP6V1E1
ATP6V0A4	ATP6V1E1
ATP6V0E1	ATP6V1E1
ATP6V1A	ATP6V1E1
ATP6V1B1	ATP6V1E1
ATP6V1B2	ATP6V1E1
ATP6V1C1	ATP6V1E1
ATP6V1C2	ATP6V1E1
ATP6V1D	ATP6V1E1
ATP6V0A1	ATP6V1E2
ATP6V0A2	ATP6V1E2
ATP6V0A4	ATP6V1E2
ATP6V1A	ATP6V1E2
ATP6V1B1	ATP6V1E2
ATP6V1B2	ATP6V1E2
ATP6V1C1	ATP6V1E2
ATP6V1C2	ATP6V1E2
ATP6V1D	ATP6V1E2
ATP6V0A1	ATP6V1F
ATP6V0A2	ATP6V1F
ATP6V0A4	ATP6V1F
ATP6V0D1	ATP6V1F
ATP6V0D2	ATP6V1F
ATP6V1A	ATP6V1F
ATP6V1B1	ATP6V1F
ATP6V1B2	ATP6V1F
ATP6V1C1	ATP6V1F
ATP6V1D	ATP6V1F
ATP6V1E1	ATP6V1F
ATP6V1E2	ATP6V1F
AP2B1	ATP6V1G1
ATP5A1	ATP6V1G1
ATP6V0A1	ATP6V1G1
ATP6V0A2	ATP6V1G1
ATP6V0A4	ATP6V1G1
ATP6V0C	ATP6V1G1
ATP6V0D1	ATP6V1G1
ATP6V0D2	ATP6V1G1
ATP6V1A	ATP6V1G1
ATP6V1B1	ATP6V1G1
ATP6V1B2	ATP6V1G1
ATP6V1C1	ATP6V1G1
ATP6V1C2	ATP6V1G1
ATP6V1D	ATP6V1G1
ATP6V1E1	ATP6V1G1
ATP6V1E2	ATP6V1G1
ATP6V1F	ATP6V1G1
ATP6V1E1	ATP6V1G2
ATP5A1	ATP6V1G3
ATP6V0A1	ATP6V1G3
ATP6V0A2	ATP6V1G3
ATP6V0A4	ATP6V1G3
ATP6V0D1	ATP6V1G3
ATP6V0D2	ATP6V1G3
ATP6V1A	ATP6V1G3
ATP6V1B1	ATP6V1G3
ATP6V1B2	ATP6V1G3
ATP6V1C1	ATP6V1G3
ATP6V1C2	ATP6V1G3
ATP6V1D	ATP6V1G3
ATP6V1E1	ATP6V1G3
ATP6V1E2	ATP6V1G3
ATP6V1F	ATP6V1G3
ATP6V0A1	ATP6V1H
ATP6V0A4	ATP6V1H
ATP6V1A	ATP6V1H
ATP6V1B1	ATP6V1H
ATP6V1B2	ATP6V1H
ATP6V1D	ATP6V1H
ATP6V1E1	ATP6V1H
ATP6V1E2	ATP6V1H
ATP6V1F	ATP6V1H
ATP6V1G1	ATP6V1H
ATOX1	ATP7A
ATOX1	ATP7B
ATP5A1	ATPAF1
ATP5B	ATPAF1
ATP5A1	ATPIF1
ATP5E	ATPIF1
AC103686.1	ATRIP
AKT1	ATXN1
ANP32A	ATXN1
ATXN1	ATXN1L
ATXN1	ATXN2
ATXN1	ATXN2L
APAF1	AVEN
AVP	AVPR1A
ARRB2	AVPR2
AVP	AVPR2
ANP32A	AXIN1
APC	AXIN1
ANKRD6	AXIN2
APC	AXIN2
APC2	AXIN2
ADAM10	AXL
ATM	Ap1b1
APLP1	Apbb1
APLP2	Apbb1
APP	Apbb1
A2M	B2M
ARL15	B4GALT3
B9D1	B9D2
APP	BACE1
APP	BACE2
AKT1	BAD
APOBEC1	BAG4
ABI1	BAIAP2
ATN1	BAIAP2
BAI1	BAIAP2
BAI1	BAIAP3
ARPC3	BAT3
B2M	BAT3
ATP5G3	BAT5
BAK1	BAX
ACTL6A	BAZ1B
BAZ1A	BAZ1B
BAZ1B	BAZ2A
BAX	BBC3
ACTB	BBS4
ALDOB	BBS4
ALDOB	BBS7
ADAMTS4	BCAN
AL122127.2	BCAP29
ACTG1	BCAP31
AL122127.2	BCAP31
BCAP29	BCAP31
ABL1	BCAR1
ACTB	BCAR1
ARHGAP32	BCAR1
BCAR1	BCAR3
BCAT1	BCAT2
BCKDHB	BCKDK
AKT1	BCL10
ATP2A2	BCL2
AVEN	BCL2
BAD	BCL2
BAG3	BCL2
BAG4	BCL2
BAK1	BCL2
BAX	BCL2
BBC3	BCL2
BCAP31	BCL2
BAD	BCL2A1
BAK1	BCL2A1
BAX	BCL2A1
BBC3	BCL2A1
ABL1	BCL2L1
ANTXR1	BCL2L1
APAF1	BCL2L1
AVEN	BCL2L1
BAD	BCL2L1
BAK1	BCL2L1
BAX	BCL2L1
BBC3	BCL2L1
BCAP31	BCL2L1
BCL2	BCL2L1
APAF1	BCL2L10
BAD	BCL2L10
BAK1	BCL2L10
BAX	BCL2L10
BCL2	BCL2L10
BCL2L1	BCL2L10
AKT1	BCL2L11
BAD	BCL2L11
BAX	BCL2L11
BCL2	BCL2L11
BCL2A1	BCL2L11
BCL2L1	BCL2L11
BCL2L1	BCL2L12
BCL2	BCL2L14
BCL2L1	BCL2L14
BAD	BCL2L2
BAK1	BCL2L2
BAX	BCL2L2
BBC3	BCL2L2
BCL2L11	BCL2L2
BARD1	BCL3
BCL10	BCL3
ARNT2	BCL6
BACH2	BCL6
BCL11A	BCL6
BCL6	BCL6B
BCL2	BCLAF1
BCL2L1	BCLAF1
BCL6	BCOR
ABL1	BCR
ABL2	BCR
APBA3	BCR
ACE	BDKRB2
ADRBK1	BDKRB2
AGTR1	BDKRB2
BCL2	BECN1
BCL2L1	BECN1
ABLIM1	BEGAIN
BAHD1	BEGAIN
BFSP1	BFSP2
ARNTL	BHLHE40
BHLHE40	BHLHE41
ARHGDIA	BID
BAK1	BID
BAX	BID
BCL2	BID
BCL2L1	BID
BCL2L2	BID
BCL2	BIK
BCL2A1	BIK
BCL2L1	BIK
BCL2L2	BIK
ABL1	BIN1
AMPH	BIN1
BIN1	BIN2
BCL10	BIRC2
BCL10	BIRC3
AURKB	BIRC5
BCL2	BLK
BCL2L1	BLK
ATM	BLM
APP	BLMH
BLOC1S1	BLOC1S2
BLOC1S1	BLOC1S3
BLOC1S2	BLOC1S3
BCL2	BMF
BCL2A1	BMF
BCL2L1	BMF
BCL2L2	BMF
ACVR1	BMP2
ACVR2A	BMP2
ACVR2B	BMP2
ASCL1	BMP2
ACVR2A	BMP6
ACVR2B	BMP6
ACVR1	BMP7
ACVR2A	BMP7
ACVR2B	BMP7
BMP4	BMP8B
ASH2L	BMPER
BMP2	BMPER
BMP4	BMPER
BMP5	BMPER
BMP6	BMPER
BMP7	BMPER
ACVR2B	BMPR1A
BMP2	BMPR1A
BMP4	BMPR1A
BMP5	BMPR1A
BMP6	BMPR1A
BMP7	BMPR1A
AMHR2	BMPR1B
BMP15	BMPR1B
BMP2	BMPR1B
BMP4	BMPR1B
BMP6	BMPR1B
BMP7	BMPR1B
BMPR1A	BMPR1B
ACVR1	BMPR2
ACVR1B	BMPR2
BMP2	BMPR2
BMP4	BMPR2
BMP6	BMPR2
BMP7	BMPR2
BMPR1A	BMPR2
BMPR1B	BMPR2
BCL2	BNIP1
BCL2L1	BNIP1
ARHGAP1	BNIP2
ARHGAP8	BNIP2
BCL2	BNIP2
BCL2	BNIP3
BCL2L1	BNIP3
BNIP3	BNIP3L
ARHGAP1	BNIPL
BAX	BNIPL
BCL2	BNIPL
BCL2L1	BNIPL
BNIP2	BNIPL
BCL2A1	BOK
AKT1	BRAF
ARAF	BRAF
ARIH1	BRAP
ABL1	BRCA1
AC103686.1	BRCA1
ACACA	BRCA1
AKT1	BRCA1
AR	BRCA1
ATF1	BRCA1
ATM	BRCA1
AURKA	BRCA1
BACH1	BRCA1
BAP1	BRCA1
BARD1	BRCA1
BLM	BRCA1
BRAP	BRCA1
ABL1	BRCA2
BARD1	BRCA2
BCCIP	BRCA2
BRCA1	BRCA2
BARD1	BRCC3
BRCA1	BRCC3
BRCA2	BRCC3
AGR2	BRD7
BHLHE40	BRD7
BRCA1	BRD7
BARD1	BRE
BRCA1	BRE
BRCA2	BRE
BRCC3	BRE
BRCA1	BRIP1
ATF7IP	BRLF1
ARID4A	BRMS1
ACTR2	BRPF1
ACTR3	BRPF1
ARPC1B	BRPF1
ARPC2	BRPF1
ARPC3	BRPF1
ARPC5	BRPF1
ARL3	BSND
BRD7	BTBD2
BTBD1	BTBD2
BANP	BTG3
ABL1	BTK
BLNK	BTK
BMX	BTK
APC	BTRC
AP1B1	BUB1
AP2B1	BUB1
APC	BUB1
ARIH2	BUB1
AP2B1	BUB1B
APC	BUB1B
BRCA2	BUB1B
APC	BUB3
BUB1	BUB3
BUB1B	BUB3
ARHGEF25	BVES
BMS1	BYSL
BLK	Bcas2
BCL2	Bcl2l11
BCL2A1	Bcl2l11
BCL2L1	Bcl2l11
BCL2	Becn1
AKTIP	C10orf2
BRCA2	C11orf30
ARHGEF15	C11orf49
ABCF3	C11orf59
AURKA	C13orf34
BTRC	C13orf34
ALDH2	C14orf1
BAIAP2	C14orf1
BTBD2	C14orf1
ATG4B	C14orf139
APP	C14orf153
AP3B1	C15orf38
AP3D1	C15orf38
AP3M1	C15orf38
AP3S1	C15orf38
BEGAIN	C16orf48
BEGAIN	C17orf28
BAT3	C19orf10
ATR	C19orf40
ATRIP	C19orf40
AIMP2	C19orf57
C19orf25	C19orf57
BRE	C19orf62
AC103686.1	C1D
B3GNT2	C1GALT1C1
C1GALT1	C1GALT1C1
APCS	C1QA
C1QA	C1QB
BAT2	C1QBP
C1QA	C1QBP
C1QA	C1QC
C1QB	C1QC
AVPR2	C1QTNF1
C1QA	C1S
AKR1C3	C1orf103
ANKRD24	C1orf103
ARL3	C1orf103
ATF3	C1orf103
ATP1B1	C1orf103
BMI1	C1orf103
BOC	C1orf103
BRMS1	C1orf103
C19orf50	C1orf65
C1orf190	C1orf65
BRD8	C20orf20
BTBD12	C20orf94
ACP5	C2orf18
ACP6	C2orf18
ALDH2	C2orf18
AURKB	C2orf18
C2	C3
C3	C3AR1
C19orf50	C3orf34
APC	C4A
APCS	C4BPA
ARF1	C4orf14
C2	C5
C3	C5
ARRB2	C5AR1
C5	C5AR1
BSCL2	C5orf62
C5	C6
C5	C7
AK5	C7orf26
BTBD2	C7orf64
C11orf49	C7orf64
C5	C8B
C8A	C8B
C8A	C8G
APOM	C8orf30A
C17orf61	C8orf30A
C8A	C9
C19orf57	C9orf86
BCL10	C9orf89
ATP5C1	CA12
AC091196.1	CAB39
AMPH	CABIN1
AP1B1	CABIN1
ABL1	CABLES1
ABL1	CABLES2
CABP1	CACNA1A
APBA1	CACNA1B
CABP4	CACNA1F
ALB	CACNA1I
CACNA1C	CACNA2D1
CACNA1D	CACNB2
CACNA1B	CACNB3
CACNA1C	CACNB3
CACNA1A	CACNB4
BDNF	CADPS2
BBS4	CALCA
ABLIM1	CALCOCO2
APEX2	CALCOCO2
C16orf48	CALCOCO2
C1orf65	CALCOCO2
C20orf195	CALCOCO2
C9orf86	CALCOCO2
APOB	CALCR
AR	CALM1
CABIN1	CALM1
AKAP9	CALM2
AC012621.2	CALM3
ACTN2	CALM3
ADCY8	CALM3
ADCYAP1R1	CALM3
ADD1	CALM3
ADD2	CALM3
AKAP5	CALM3
AR	CALM3
ARRB2	CALM3
ATP2B1	CALM3
ATP2B4	CALM3
CABIN1	CALM3
CACNA1C	CALM3
CALD1	CALM3
AR	CALR
B2M	CALR
APCS	CALU
ATF1	CAMK1
CALM3	CAMK1
ACTN4	CAMK2A
ACTN4	CAMK2B
CAMK2B	CAMK2D
ACTN2	CAMK2G
ACTN4	CAMK2G
ATF1	CAMK2G
CALM3	CAMK2G
CAMK2B	CAMK2N2
CABIN1	CAMK4
AKT1	CAMKK1
CALM3	CAMKK1
CAMK1	CAMKK1
CAMK1D	CAMKK1
CAMK4	CAMKK1
CALM3	CAMKK2
CAMK1	CAMKK2
CAMK4	CAMKK2
ABCC2	CANX
APOB	CANX
BCAP31	CANX
CALR	CANX
ACTB	CAP1
ACTG1	CAP1
Bat3	CAP1
CAP1	CAP2
ACTC1	CAPN1
BCL2L1	CAPN1
